name,gender,job,house,patronus,species,blood_status,loyalty,skills,birth,death,source,incantation,type,effect,characteristics,alias_names,titles,category,hand,light,difficulty,inventors,ingredients,side_effects,time,title
Catherine Tyler,Female,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Catherine Kurkus,Female,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Albert Boot,Male,['British Minister for Magic (1747–1752)'],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],['Minister for Magic'],,,,,,,,,
Ronald Phipps,Male,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Albert Einstein,Male,['Theoretical physicist'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Victor Rookwood,Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Victor Rookwood's father,Male,[],,,Human,Pure-blood or half-blood (possibly),,,,,master,,,,,[],[],,,,,,,,,
Cassandra Vole's uncle,Male,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Alderton,Male,[],,,Human,Muggle-born or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Ulick Gamp,Male,"['Chief Warlock of the Wizengamot (before 1707)', 'Minister for Magic (1707–1718)']",,,Human,Pure-blood or half-blood,,,,,master,,,,,[],"['Chief Warlock', 'Minister for Magic']",,,,,,,,,
Roy,Male,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Rowan Khanna's uncle,Male,['Broom-maker'],,,Human,Pure-blood or half-blood (most likely),,,,,master,,,,,[],[],,,,,,,,,
Rowboat owner,Male,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Yusuf Kama,Male,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Sujita Tande,Female,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Rowena Rowle,Female,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Rowesley,Female,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Algie Longbottom,Male,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Cadmus Peverell,Male,[],,,Human,Pure-blood,,,,,master,,,,,['Second Brother'],[],,,,,,,,,
Roxanne Weasley,Female,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Byron Miller,Male,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Vinceneo Lapnoia,Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Suenodi Satteirri,Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Cadwallader,Male,[],Hufflepuff,,Human,,,,,,master,,,,,[],['Chaser'],,,,,,,,,
Alice Fitzwarren,Female,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Roy Rifenderg,Male,['Theatre lighting desginer'],,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
Alice Tolipan,Female,[],"Gryffindor, Hufflepuff, or Ravenclaw",,Human,,,,,,master,,,,,[],[],,,,,,,,,
Undentified Death Eater,Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Suchrita,Female,[],,,Human,Squib,,,,,master,,,,,[],[],,,,,,,,,
Unctuous Osbert,Male,['Minister for Magic (1789–1798)'],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],['Minister for Magic'],,,,,,,,,
Bunty Broadacre,Female,['Assistant to Newton Scamander'],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Vincent Davies,Male,['Costume designer'],,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
Budleigh Babberton milkman,Male,['Milkman'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Rowan Khanna's brother,Male,[],,,Human,"Pure-blood, half-blood or Squib (most likely)",,,,,master,,,,,[],[],,,,,,,,,
Alfred Cattermole,Male,[],,,Human,Half-blood or Squib,,,,,master,,,,,[],[],,,,,,,,,
Rose Wax,Female,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Rosie Goodwin,Female,['Circus performer'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Captain of the Brigade of Witch-Hunters,Male,['Captain of the Brigade of Witch-Hunters'],,,Human,Muggle,,,,,master,,,,,[],['Captain'],,,,,,,,,
Cantankerus Nott,Male,['Author (widely believed)'],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Cameron McClintock,Female,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Alec Webb,Male,['Concert director'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Alexander Pope,Male,['Poet'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Cameron Boyle,Male,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Rose Zeller,Female,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Alexander William,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Susanna Hesleden,Female,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Septima Vector,Female,Professor of Arithmancyat Hogwarts,,Unknown,Human ,,Hogwarts School of Witchcraft and Wizardry,,Before 1974,,characters,,,,,,,,,,,,,,,
Camelia,Female,"['Employee at Hogwarts School (c. 1994–1998)', 'Invigilator of the Great Hall (c. 1994–1998)']",,,Human,Pure-blood or half-blood,,,,,master,,,,,[],['Professor'],,,,,,,,,
Callum McClintock's parents,"Male, female",[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Viktor Krum's grandfather,Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Vikram Thakur,Male,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Trev Mallory,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Alexii Waskingti,Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Alexis Marie,Female,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Alex Sykes,Male,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Rosmerta,Female,['Landlady of the Three Broomsticks Inn'],,Non-corporeal,Human,,,,,,master,,,,,[],['Madam'],,,,,,,,,
Unidentfied male Death Eater during the Battle of Hogwarts (II),Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],['Death Eater'],,,,,,,,,
Alex Wednesbury,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Ross,Female,[],,,Human,Muggle (presumably),,,,,master,,,,,[],[],,,,,,,,,
Summers,Male,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Violetta Black (née Bulstrode),Female,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Androo Bloompeldio,Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Sam Fraddon,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Tristram Bassenthwaite,Male,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Archana Shetty,Female,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Archer Evermonde,Male,['British Minister for Magic (1912–1923)'],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],['Minister for Magic'],,,,,,,,,
Sidney Puckeridge,Male,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Balbine Lestrange (née Leroy),Female,[],,,Human,Pure-blood (most likely),,,,,master,,,,,[],[],,,,,,,,,
Balbine Lestrange,Female,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Bai Howin,Female,['Professor of Beasts at Hogwarts School of Witchcraft and Wizardry'],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Snickerton,Male,['Tailor'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Archibald Monicann,Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Badeea Ali's mother,Female,['Engineer'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Silas Crump,Male,[],Slytherin (possibly),,Human (werewolf),,,,,,master,,,,,"[""Silas 'Saintly' Crump""]",[],,,,,,,,,
Smitten Slytherin,Male,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Shruti Dev,Female,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wallace Lassiter,Male,['Composer'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Smirnoff,Male,['Banker'],,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
Slytherin Wizard's Chess champion,Male,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Aviemore station master,Male,['Station master at Aviemore train station'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Wallace Rosenberg,Male,['Actor'],,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
Wally Wimbles,Male,"[""Cleaner at Zonko's Joke Shop""]",,,Human,Squib,,,,,master,,,,,[],[],,,,,,,,,
Trisha Buttermere,Female,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Slytherin Wizard Duelling Champion,Male,[],Slytherin,,Human,,,,,,master,,,,,[],['Slytherin Wizard Duelling Champion'],,,,,,,,,
Austin Guthrie,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Trinity Lynn,Female,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Sofie,Female,['Politician'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Yolanda Reedham,Female,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Slytherin student,Male,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Shawn Morris,Male,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Bartemius Crouch Senior's grandfather,Male,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
S. Fawcett,Female,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wainscott,Female,['Nurse at Hogwarts School of Witchcraft and Wizardry'],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Bartemius Crouch Junior,Male,['Professor of Defence Against the Dark Arts at Hogwarts School of Witchcraft and Wizardry (as Alastor Moody) (1994-1995)'],,,Human,Pure-blood or half-blood,,,,,master,,,,,"['Barty Crouch Jnr', ""Alastor 'Mad-Eye' Moody (under disguise of Polyjuice Potion)""]",['Professor (as Alastor Moody) (formerly)'],,,,,,,,,
Shafiq,Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Barry Rochester,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Barrett Fay,Male,['Author'],,,Human,Pure-blood (most likely),,,,,master,,,,,[],[],,,,,,,,,
Apollyon Pringle,Male,['Caretaker of Hogwarts (c. 1961–c. 1968)'],,,Human,Squib or wizard (likely),,,,,master,,,,,[],[],,,,,,,,,
Sophia Prickett,Female,[],Gryffindor,,Human,,,,,,master,,,,,[],['Captain'],,,,,,,,,
Shaun Wadewanids,Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Barnaby Lee's grandmother,Female,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,"['Grandmum (by Barnaby Lee)', ""Madam Lee (by Jacob's sibling)""]",[],,,,,,,,,
Sheila Brooks,Female,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Sol Campbell,Male,['Professional footballer'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Waitress at Luchino Caffe,Female,['Waitress'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Shelagh O'Dowd,Female,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Warrington sisters' mother,Female,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Sherwood Partington,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Shifty wizard,Male,[],,Non-corporeal,Human,,,,,,master,,,,,[],[],,,,,,,,,
Arabella Doreen Figg,Female,['Dealer of cross-bred cats and kneazles'],,,Human,Squib,,,,,master,,,,,[],[],,,,,,,,,
Waitress at Treats,Female,['Waitress at Treats'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Arabella Figg's parents,"Male, female",[],,,Humans,Magical (one or both of them),,,,,master,,,,,[],[],,,,,,,,,
Barker,Male,['Personal assistant to Henry Shaw Senior'],,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
Banga O'deluga,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Shoma Ichikawa,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Silvanus Selwyn,Male,['Lieutenant of the Ashwinders'],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Silvia,Female,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Bartholomew Barebone,Male,[],,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
Sir Luckless,Male,[],,,Human,Muggle,,,,,master,,,,,[],['Sir'],,,,,,,,,
Astoria Malfoy (née Greengrass),Female,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Arnold Streeton,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Siobhan Templeton,Female,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Astoria Crickett,Female,[],Ravenclaw,,"Human, Worm (briefly)",,,,,,master,,,,,[],[],,,,,,,,,
Sisi Makerere,Female,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Asma Rahman,Female,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Aron Woodbridge,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Ashok Khanna,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Ashley Sanders,Female,[],Gryffindor,,Human,,,,,,master,,,,,[],['Quidditch Captain'],,,,,,,,,
Sirona Ryan,Female,['Proprietress of the Three Broomsticks Inn'],Ravenclaw,,Human,,,,,,master,,,,,[],['Seeker'],,,,,,,,,
Ashish Patel,Male,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Sir Fitzroy's owner,Female,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Skye Parkin,Female,['Chaser for the Wigtown Wanderers'],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],['Chaser'],,,,,,,,,
Warren,Male,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Arthur Weasley's brothers,Males,[],,,Humans,Pure-bloods,,,,,master,,,,,[],[],,,,,,,,,
Artemisia Blackwood (née Black),Female,[],,,Human,Half-blood,,,,,master,,,,,[],[],,,,,,,,,
Warren G. Harding,Male,['President of the United States of America'],,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
Artemisia Blackwood's father,Male,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Arthur Plummly's mother,Female,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Trevor Birch,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Artemisia Blackwood's mother,Female,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Warrington sisters' father,Male,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Arthur Plummly,Male,[],Hufflepuff,,,Half-blood,,,,,master,,,,,[],[],,,,,,,,,
Sixth-year Inquisitorial Squad member,Female,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Travers,Male,['British Ministry of Magic official'],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Audrey Eubanks,Female,['Actor'],,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
Aurelius Dumbledore,Male,['Worker at Circus Arcanus (formerly)'],,,Human,Half-blood,,,,,master,,,,,"['Credence Barebone (adoptive name)', 'Corvus Lestrange V (mistakenly believed identity)']",[],,,,,,,,,
Aurélie Dumont,Female,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],['Chaser'],,,,,,,,,
Ariana Dumbledore,Female,[],,,Human,Half-blood,,,,,master,,,,,[],[],,,,,,,,,
Slytherin Duelling Club Captain,Male,[],Slytherin,,Human,,,,,,master,,,,,[],"['Duelling Club Captain', 'Slytherin House Champion']",,,,,,,,,
Slytherin boy who drank a botched potion,Male,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Augusta Longbottom,Female,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Simon Dedworth,Male,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Arjuna Balaji,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Arkie Alderton,Male,"['Broomstick designer', ""Owner of Arkie Alderton's Kwik-Repair Shop""]",,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Simon Marchand,Male,['Musician'],,,Human,Wizard,,,,,master,,,,,[],[],,,,,,,,,
Warlock,Male,[],,,Human,Pure-blood or half-blood (most likely),,,,,master,,,,,[],['Warlock'],,,,,,,,,
Atsushi Takagi,Male,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Wandkeeper,Males (generally),['Wandkeepers'],,,Humans,Pure-blood(s) or/and half-blood(s),,,,,master,,,,,[],[],,,,,,,,,
Arlene Piper,Female,['Actor'],,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
Armand Malfoy,Male,[],,,Human,Pure-blood (most likely),,,,,master,,,,,[],[],,,,,,,,,
Athelstan Lee,Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Simon Talmadge,Male,[],,,"Human (formerly), Ghost",Muggle-born,,,,,master,,,,,[],[],,,,,,,,,
Astrix Alixan,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],['Captain'],,,,,,,,,
Arman Shettigar,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Sinclair Lewis,Male,['Author'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Xander Lofthouse,Male,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Sinistra Lowe,Female,['Author'],,,Human,Pure-blood (most likely),,,,,master,,,,,[],[],,,,,,,,,
Apolline Delacour,Female,[],,,Half-human/half-Veela,Half-breed (half-Veela),,,,,master,,,,,[],['Madame'],,,,,,,,,
Seventh-floor corridor Gryffindor Prefect,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],['Prefect'],,,,,,,,,
Andros the Invincible,Male,[],,Unknown form; giant-sized,Human,,,,,,master,,,,,[],[],,,,,,,,,
Annalena Gleam (née Murk),Female,['British Ministry of Magic official'],Gryffindor,,Human,,,,,,master,,,,,[],['Prefect'],,,,,,,,,
Tracey Nettlebed,Female,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Sara Farnham,Female,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Sarah Kempston,Female,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Anita Macduff,Female,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Anjali Kapoor,Female,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Anji Oliver,Female,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Betty Bickering,Female,[],Gryffindor,,Human,,,,,,master,,,,,[],['Captain'],,,,,,,,,
Weasley children's uncle,Male,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Anna Chiwawa,Female,['Singer'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Bethany Harrison,Female,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Anna Hill-Hall,Female,['Data retrieval officer for the Metropolitan Police'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Saraphina Moonstone,Female,[],Thunderbird,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Bhupen Shastri,Male,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Anna Mirfield,Female,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Bespectacled Slytherin,Female,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Satinder Singh,Female,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Satoru Iida,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Trupti Kadam,Female,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Trudy Galston,Female,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Tracie Everson,Female,[],Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Scarlett Lympsham,Female,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Scarlett Sparks,Female,[],,,Human (werewolf),Muggle,,,,,master,,,,,[],[],,,,,,,,,
Bernard Tremblay,Male,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Weasley children's cousin,Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Bhavna Patel,Female,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Angus Matlock,Male,[],Gryffindor,,Human,,,,,,master,,,,,[],"['Duelling Club Captain', 'Gryffindor House Champion']",,,,,,,,,
Bernard Maltby,Male,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Billy Stubbs,Male,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Andy P. Young,Male,['Vice president of Steen National Bank'],,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
Blagdon Blay,Male,[],,,Human,Magical to unknown extent,,,,,master,,,,,[],[],,,,,,,,,
Violet Tillyman,Female,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Angelica Cole,Female,['Security troll trainer for the British Ministry of Magic'],Gryffindor,,Human,,,,,,master,,,,,[],"['Prefect', 'Quidditch Captain']",,,,,,,,,
Samuel Clemens,Male,['Author'],,,Human,No-Maj,,,,,master,,,,,['Mark Twain'],[],,,,,,,,,
Angelina Appleby,Female,[],Gryffindor,,Human,,,,,,master,,,,,[],['Captain'],,,,,,,,,
Angelina Weasley (née Johnson),Female,[],Gryffindor,,Human,,,,,,master,,,,,[],"['Chaser', 'Quidditch Captain']",,,,,,,,,
Samueles Koberi,Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Bilton Bilmes,Male,"[""Shopkeeper of Zonko's Joke Shop""]",Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Angelo Benitez,Male,['Actor'],,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
Staring Muggle,Female,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Marge Dursley,Female,Dog breeder,,,Human ,Muggle,,Breeding bulldogs,Pre 1954,,characters,,,,,,,,,,,,,,,
Angus Fleet,Male,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
San Bakar,Male,['Professor of Beasts at Hogwarts School of Witchcraft and Wizardry'],Slytherin,,Human,,,,,,master,,,,,[],['Professor'],,,,,,,,,
Stanley Shilling,Male,['Actor'],,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
Stanley Eldridge,Male,['Lyricist'],,,Human,No-Maj,,,,,master,,,,,[],[],,,,,,,,,
Sanford Humberston,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Billie Anderson,Female,[],Thunderbird,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Bilius Finbok,Male,"['Employee in the Department of Intoxicating Substances', 'Amateur Potioneer']",Hufflepuff (possibly),,Human,,,,,,master,,,,,[],[],,,,,,,,,
Bilius,Male,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Angus Buchanan,Male,"['Labourer (formerly)', 'Rugby player', 'Author']",,,Human,Squib,,,,,master,,,,,[],[],,,,,,,,,
Biko  Kisawahi,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Big Bean Shack spokeswoman,Female,['Big Bean Shack spokeswoman'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Angus Buchanan's siblings,"Males, Females",[],,,Humans,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Anne Thisbe,Female,[],,,Human,Muggle-born,,,,,master,,,,,[],[],,,,,,,,,
Bernard Lockwood,Male,['Theatre producer'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Wayne Bostock,Male,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Vulpecula Bulstrode,Female,['Healer'],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Becky Arncliffe,Female,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Beauxbatons student transferred from Slytherin,Female,[],Slytherin (formerly),,Human,,,,,,master,,,,,[],[],,,,,,,,,
Secret student sweetshop manager,Male,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Beatrix Bloxam,Female,"[""Children's author""]",,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Sophronia Franklin,Female,[],Ravenclaw,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Antônio Carlos Jobim,Male,[],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Selina Moore,Female,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Antonio Luccenino,Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
Selina Sapworthy,Female,"['Servant to the International Quidditch Team', 'Author']",Gryffindor,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Selwyn,Male,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Septima,Female,[],Hufflepuff,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Sotère Lestrange (née Petit),Female,[],,,Human,Pure-blood,,,,,master,,,,,[],[],,,,,,,,,
Bathilda Bagshot,Female,"['Author', 'Historian']",,,Human,Pure-blood or half-blood,,,,,master,,,,,"[""'Batty' Bagshot (by Rita Skeeter)""]","['Professor', 'Madam']",,,,,,,,,
Bastien Queensbury,Male,[],Slytherin,,Human,,,,,,master,,,,,[],[],,,,,,,,,
Sophie Roper,Female,[],"Gryffindor, Hufflepuff or Slytherin",,Human,,,,,,master,,,,,[],[],,,,,,,,,
Septimus Malfoy,Male,[],,,Human,Pure-blood or half-blood,,,,,master,,,,,[],[],,,,,,,,,
A. Osborn,Male,['Author'],,,Human,Muggle,,,,,master,,,,,[],[],,,,,,,,,
Basil Fronsac,Male,['Headmaster of Hogwarts School'],Ravenclaw,,Human,,,,,,master,,,,,[],"['Professor', 'Headmaster']",,,,,,,,,
